iter	Passed	Remaining
0	0	98
1	2	99
2	3	102
3	3	94
4	5	95
5	6	94
6	6	92
7	7	91
8	9	91
9	10	90
10	11	89
11	12	88
12	13	87
13	14	87
14	15	86
15	16	85
16	17	84
17	18	83
18	19	82
19	20	81
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	25	73
26	26	72
27	27	71
28	28	70
29	30	70
30	31	69
31	32	68
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	40	58
41	41	57
42	42	55
43	43	54
44	44	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	90	4
95	91	3
96	92	2
97	94	1
98	95	0
99	95	0
