iter	Passed	Remaining
0	139	139021
1	140	70144
2	141	47114
3	143	35608
4	144	28758
5	145	24166
6	147	20876
7	148	18405
8	149	16480
9	150	14928
10	152	13725
11	153	12669
12	154	11763
13	156	11006
14	157	10353
15	159	9784
16	160	9283
17	161	8830
18	163	8423
19	164	8054
20	165	7719
21	167	7424
22	168	7154
23	169	6905
24	171	6670
25	172	6455
26	173	6263
27	175	6099
28	177	5945
29	179	5793
30	180	5652
31	182	5513
32	183	5385
33	185	5262
34	187	5158
35	188	5057
36	190	4948
37	191	4845
38	193	4756
39	194	4672
40	195	4583
41	197	4501
42	198	4423
43	199	4343
44	201	4267
45	202	4195
46	203	4127
47	205	4067
48	206	4011
49	208	3953
50	209	3897
51	210	3842
52	212	3788
53	213	3736
54	214	3688
55	215	3640
56	217	3593
57	218	3547
58	219	3508
59	221	3470
60	222	3431
61	224	3391
62	225	3353
63	226	3316
64	228	3280
65	229	3242
66	230	3208
67	231	3174
68	232	3140
69	234	3114
70	236	3088
71	237	3059
72	238	3029
73	239	3001
74	241	2973
75	242	2947
76	243	2919
77	244	2892
78	245	2867
79	247	2843
80	248	2819
81	249	2796
82	250	2766
83	251	2745
84	252	2723
85	254	2702
86	255	2681
87	256	2660
88	258	2641
89	259	2620
90	260	2600
91	261	2581
92	262	2562
93	263	2544
94	265	2530
95	266	2512
96	267	2493
97	268	2475
98	269	2456
99	270	2438
100	271	2420
101	272	2403
102	274	2386
103	275	2369
104	276	2354
105	277	2338
106	278	2323
107	279	2311
108	281	2300
109	282	2288
110	284	2274
111	285	2260
112	286	2248
113	287	2235
114	288	2222
115	289	2209
116	290	2194
117	291	2181
118	293	2169
119	294	2158
120	295	2148
121	296	2136
122	298	2124
123	299	2112
124	300	2100
125	301	2088
126	301	2075
127	303	2064
128	304	2054
129	305	2044
130	306	2034
131	307	2023
132	308	2013
133	310	2005
134	312	1999
135	313	1989
136	314	1981
137	315	1972
138	316	1962
139	317	1952
140	319	1943
141	319	1932
142	320	1923
143	321	1913
144	323	1904
145	324	1895
146	325	1888
147	326	1881
148	328	1873
149	329	1866
150	330	1857
151	331	1849
152	332	1841
153	333	1833
154	334	1826
155	336	1818
156	337	1810
157	338	1802
158	339	1795
159	340	1789
160	341	1781
161	342	1774
162	343	1765
163	344	1758
164	345	1750
165	346	1742
166	347	1735
167	349	1728
168	350	1722
169	351	1717
170	353	1711
171	354	1705
172	355	1699
173	357	1696
174	358	1690
175	359	1684
176	360	1677
177	361	1671
178	363	1665
179	364	1659
180	365	1654
181	366	1649
182	368	1644
183	369	1639
184	371	1635
185	373	1632
186	374	1628
187	375	1623
188	377	1619
189	378	1615
190	380	1612
191	382	1608
192	383	1603
193	384	1599
194	386	1595
195	387	1590
196	389	1586
197	390	1580
198	391	1577
199	393	1573
200	394	1569
201	395	1564
202	397	1560
203	398	1556
204	400	1553
205	402	1551
206	404	1548
207	405	1544
208	406	1540
209	408	1535
210	409	1531
211	411	1527
212	412	1523
213	413	1518
214	414	1514
215	416	1510
216	417	1507
217	419	1503
218	420	1498
219	421	1493
220	422	1489
221	423	1484
222	425	1480
223	426	1476
224	427	1471
225	428	1467
226	429	1463
227	431	1459
228	432	1456
229	434	1453
230	435	1449
231	436	1445
232	437	1441
233	439	1438
234	440	1434
235	441	1430
236	443	1426
237	444	1422
238	445	1418
239	447	1415
240	448	1412
241	449	1409
242	451	1405
243	452	1401
244	453	1397
245	454	1393
246	455	1390
247	457	1386
248	458	1381
249	459	1378
250	460	1374
251	462	1371
252	463	1368
253	464	1364
254	465	1361
255	466	1357
256	468	1353
257	469	1350
258	470	1346
259	471	1342
260	472	1339
261	474	1335
262	475	1331
263	476	1329
264	477	1325
265	479	1322
266	480	1319
267	481	1315
268	482	1311
269	483	1307
270	484	1303
271	485	1300
272	487	1297
273	488	1293
274	489	1290
275	490	1287
276	492	1285
277	493	1282
278	495	1279
279	496	1276
280	497	1274
281	499	1270
282	500	1267
283	501	1263
284	502	1261
285	503	1257
286	505	1254
287	506	1252
288	508	1250
289	509	1248
290	511	1245
291	512	1242
292	513	1239
293	514	1236
294	516	1233
295	517	1230
296	518	1227
297	519	1224
298	521	1222
299	522	1220
300	524	1217
301	525	1213
302	526	1210
303	527	1207
304	528	1204
305	529	1201
306	530	1198
307	532	1195
308	533	1192
309	534	1189
310	535	1186
311	537	1184
312	538	1182
313	539	1179
314	541	1176
315	542	1173
316	543	1170
317	544	1167
318	545	1164
319	546	1162
320	548	1159
321	549	1157
322	550	1154
323	552	1152
324	554	1150
325	555	1147
326	556	1144
327	557	1142
328	558	1139
329	559	1136
330	561	1134
331	562	1131
332	563	1128
333	564	1126
334	566	1124
335	567	1122
336	569	1119
337	570	1117
338	571	1114
339	573	1112
340	574	1109
341	575	1107
342	576	1104
343	577	1102
344	579	1099
345	580	1096
346	581	1093
347	582	1091
348	584	1089
349	585	1087
350	586	1084
351	587	1081
352	588	1079
353	590	1076
354	591	1074
355	592	1071
356	593	1068
357	594	1066
358	595	1063
359	597	1062
360	598	1059
361	599	1057
362	600	1054
363	602	1051
364	603	1049
365	604	1046
366	605	1043
367	606	1040
368	607	1038
369	608	1036
370	609	1034
371	611	1031
372	612	1030
373	614	1028
374	615	1025
375	616	1023
376	617	1020
377	618	1017
378	619	1015
379	620	1013
380	622	1010
381	623	1008
382	624	1006
383	625	1004
384	627	1002
385	628	1000
386	630	998
387	631	995
388	632	993
389	633	991
390	635	989
391	636	986
392	637	984
393	638	982
394	639	980
395	641	977
396	642	975
397	643	973
398	645	971
399	646	969
400	647	967
401	648	965
402	649	962
403	651	960
404	652	958
405	653	956
406	654	954
407	656	951
408	657	949
409	658	948
410	659	945
411	661	943
412	662	941
413	663	939
414	664	937
415	665	934
416	667	932
417	668	930
418	669	928
419	670	926
420	671	924
421	673	922
422	674	920
423	676	918
424	677	916
425	678	914
426	679	912
427	681	910
428	682	908
429	683	906
430	684	904
431	686	902
432	687	899
433	688	898
434	690	896
435	691	894
436	692	892
437	693	890
438	695	889
439	697	887
440	698	884
441	699	882
442	700	880
443	701	878
444	703	877
445	704	875
446	706	873
447	707	871
448	708	869
449	710	867
450	711	865
451	712	863
452	713	862
453	715	859
454	716	857
455	717	855
456	718	854
457	720	852
458	721	850
459	722	848
460	724	846
461	725	844
462	726	842
463	727	840
464	728	838
465	729	836
466	730	834
467	731	832
468	733	829
469	734	828
470	735	826
471	737	824
472	738	822
473	739	820
474	740	818
475	741	816
476	742	814
477	744	812
478	745	810
479	746	808
480	747	806
481	749	804
482	750	802
483	751	800
484	752	798
485	753	796
486	754	794
487	755	792
488	756	790
489	757	788
490	759	786
491	760	785
492	761	783
493	762	781
494	764	779
495	765	778
496	767	776
497	768	774
498	769	772
499	770	770
500	772	769
501	773	767
502	774	765
503	775	763
504	776	761
505	778	759
506	779	758
507	781	756
508	782	754
509	783	752
510	784	751
511	786	749
512	787	747
513	788	745
514	789	743
515	791	741
516	792	740
517	793	738
518	794	736
519	796	735
520	797	733
521	798	731
522	799	729
523	800	727
524	801	725
525	803	723
526	804	721
527	805	719
528	806	717
529	807	715
530	808	714
531	809	712
532	811	711
533	812	709
534	813	707
535	815	705
536	816	703
537	817	702
538	818	700
539	819	698
540	820	696
541	822	694
542	823	693
543	825	691
544	826	690
545	827	688
546	829	686
547	830	685
548	831	683
549	832	681
550	833	679
551	835	677
552	836	676
553	837	674
554	839	672
555	840	671
556	842	669
557	843	667
558	844	666
559	845	664
560	846	662
561	848	660
562	849	659
563	850	657
564	851	655
565	853	654
566	854	652
567	856	651
568	857	649
569	859	648
570	861	647
571	863	645
572	864	644
573	866	642
574	867	641
575	869	639
576	871	638
577	872	637
578	874	635
579	875	633
580	876	632
581	878	630
582	879	629
583	880	627
584	882	625
585	883	624
586	885	622
587	886	621
588	888	619
589	889	618
590	891	616
591	892	615
592	893	613
593	895	611
594	896	610
595	897	608
596	899	607
597	900	605
598	902	604
599	903	602
600	904	600
601	906	599
602	907	597
603	908	595
604	909	594
605	911	592
606	912	590
607	913	589
608	915	587
609	916	586
610	918	584
611	919	583
612	921	581
613	922	580
614	924	578
615	925	577
616	927	575
617	928	573
618	929	572
619	931	570
620	932	569
621	934	567
622	935	566
623	936	564
624	937	562
625	939	561
626	940	559
627	941	557
628	943	556
629	944	554
630	945	553
631	947	551
632	948	549
633	949	548
634	950	546
635	952	544
636	953	543
637	954	541
638	956	540
639	957	538
640	958	537
641	960	535
642	962	534
643	963	532
644	964	531
645	966	529
646	967	527
647	969	526
648	970	524
649	971	523
650	973	521
651	974	520
652	976	518
653	977	517
654	979	515
655	980	514
656	982	512
657	983	511
658	984	509
659	986	508
660	987	506
661	989	504
662	990	503
663	992	502
664	993	500
665	995	499
666	996	497
667	997	495
668	999	494
669	1000	492
670	1001	491
671	1002	489
672	1004	487
673	1005	486
674	1007	485
675	1009	483
676	1010	482
677	1011	480
678	1012	478
679	1013	477
680	1014	475
681	1015	473
682	1017	472
683	1018	470
684	1019	468
685	1021	467
686	1022	466
687	1024	464
688	1025	462
689	1027	461
690	1028	459
691	1029	458
692	1031	456
693	1032	455
694	1033	453
695	1034	451
696	1036	450
697	1037	449
698	1039	447
699	1040	445
700	1041	444
701	1043	442
702	1044	441
703	1045	439
704	1046	438
705	1048	436
706	1049	434
707	1051	433
708	1052	432
709	1054	430
710	1055	429
711	1056	427
712	1058	425
713	1059	424
714	1060	422
715	1061	421
716	1062	419
717	1064	417
718	1065	416
719	1067	414
720	1068	413
721	1069	411
722	1070	410
723	1071	408
724	1072	406
725	1073	405
726	1074	403
727	1075	401
728	1076	400
729	1077	398
730	1078	397
731	1079	395
732	1081	393
733	1083	392
734	1084	390
735	1085	389
736	1087	387
737	1088	386
738	1089	384
739	1091	383
740	1092	381
